,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
0,128.7826411649236,129.39551044224086,122.74286511723291,123.63252258300781,112117500,0.0,0.0,AAPL
1,125.43161455867813,127.18127564102066,123.64241984503863,124.90770721435547,89113600,0.0,0.0,AAPL
2,125.66885678017948,126.30150047855705,123.32610067708713,123.5831069946289,80962700,0.0,0.0,AAPL
3,124.5617315121944,128.79253144434853,123.45460129199294,128.13023376464844,87754700,0.0,0.0,AAPL
4,128.97048897560737,131.87670150653418,128.39715319682298,128.65415954589844,70790800,0.0,0.0,AAPL
5,128.76286346285156,129.7513700565325,126.64745995571087,129.2274627685547,63896200,0.0,0.0,AAPL
6,129.7415193359335,131.97553930551643,128.9606055895864,131.95578002929688,69458900,0.0,0.0,AAPL
7,132.34127780837738,132.71690008626126,129.92931912019301,131.87667846679688,71379600,0.0,0.0,AAPL
8,130.51253218381837,133.36931580754018,130.14678954891528,133.21115112304688,57809700,0.0,0.0,AAPL
9,133.2803661632613,135.7120843078782,132.58841445883436,134.3776092529297,63646600,0.0,0.0,AAPL
10,135.24747146776636,137.01689153014115,133.47803632197883,133.65597534179688,69672800,0.0,0.0,AAPL
11,132.53899128723262,134.68404919653628,132.23255659782018,133.71531677246094,58280400,0.0,0.0,AAPL
12,133.72518688361293,136.43370070636414,132.67737218152695,136.28541564941406,80223600,0.0,0.0,AAPL
13,136.5325490508029,141.67279627654958,136.3150763566329,139.48818969726562,81760300,0.0,0.0,AAPL
14,138.69737484670043,141.514625019409,138.6874952095744,140.89186096191406,66435100,0.0,0.0,AAPL
15,139.2707157250627,140.79300948686725,137.21461987031523,140.2295684814453,65799300,0.0,0.0,AAPL
16,141.52450641893512,142.59209549504305,140.26909865118563,142.30543518066406,54105100,0.0,0.0,AAPL
17,141.51460940098116,145.5378234459024,141.43552706245464,144.2527618408203,70555800,0.0,0.0,AAPL
18,143.2939558417953,143.87717124792727,141.20820583984698,141.35647583007812,64015300,0.0,0.0,AAPL
19,141.05988522159177,142.68103540109175,140.64471427014323,142.63160705566406,65874500,0.0,0.0,AAPL
20,142.31530314667881,144.92496009089808,139.69576656602072,143.75851440429688,77663600,0.0,0.0,AAPL
